weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.0001,5,256,50,0.0001,1.1174739142879844,1.1306707723997533,1.1264835158362985,1.1575531852431595,2.1463912464678288,1.648085412569344,1.6481030355207622,1.1602727957069874,1.1602531145326793
0.0,0.001,5,64,30,0.001,1.1220828080549836,1.1330536426976323,1.1321583781391382,1.0897310529835522,1.7566595170646906,1.255397223867476,1.2577637853100896,1.138690983876586,1.141763189341873
0.0,0.001,8,64,50,0.0001,1.1298271450214088,1.1434057978913188,1.1384291970171034,1.134880427736789,1.360309381969273,1.3511442299932241,1.3511442798189819,1.4554712856188416,1.455506894737482
0.0001,0.0001,5,128,50,0.001,1.1349508808925748,1.1470582787878811,1.1459201672114432,1.1804491956718266,2.1445276960730553,1.5706211593933403,1.5720522128976882,1.0824525356292725,1.08375661727041
0.0,0.0001,8,64,70,0.0001,1.137728929053992,1.1496728844940662,1.1540697417221963,1.1669067004695535,1.4338504765182734,1.6802220391109586,1.6802220465615392,1.0841493248008192,1.084149337373674
0.0,0.0001,8,128,50,0.001,1.142625474371016,1.1564422734081745,1.1514220405369997,1.1605886304751039,2.063809628598392,1.645581099204719,1.6458860291168094,1.1036514355801046,1.1055290033109486
0.0001,0.0001,5,64,50,0.001,1.1453861892223358,1.1575829675421119,1.158652005251497,1.1910063154064119,2.034872518852353,1.6669946955516934,1.6675255466252565,1.1040066182613373,1.1069389092735946
0.0,0.0001,5,512,30,0.001,1.146786815021187,1.1589778517372906,1.1533803748898208,1.1848404188640416,2.2647480983287096,1.7315845284610987,1.7334595089778304,1.1387508427724242,1.1421528556384146
0.0,0.001,6,64,50,0.0001,1.1472355360165238,1.1596563793718815,1.1554090343415737,1.2090638685040176,1.3111234996467829,1.125956046860665,1.1259560836479068,1.122587509918958,1.1225875434465706
0.0,0.0001,10,64,70,0.001,1.149336091708392,1.1649439367465675,1.1638511577621102,1.1697321198880672,1.4825793709605932,1.464328779373318,1.4664091300219297,1.0765136517584324,1.0794324656017125
0.0001,0.001,6,8192,50,0.0001,1.1497158370912075,1.1606326326727867,1.1617549643851817,1.206488486379385,3.5218547340482473,3.539616744965315,3.5396562637761235,1.2450920529663563,1.245106156449765
0.0001,0.0001,5,512,30,0.001,1.1512694926932454,1.1634322530589998,1.160443788394332,1.2689697952009737,2.231565057300031,1.7095472076907754,1.7117779455147684,1.1323066735640168,1.1349835465662181
0.0001,0.001,5,512,30,0.001,1.154521890450269,1.1666075615212321,1.1702106767334044,1.3640242470428348,2.0221014777198434,1.3061908092349768,1.307557491119951,1.1865425589494407,1.1906572026200593
0.0,0.001,6,8192,70,0.0001,1.1561627155169845,1.167070790193975,1.167991591617465,1.1670662662945688,2.2115867799147964,1.968038578517735,1.9680384984239936,1.2963216360658407,1.2963216546922922
